BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;15.02.2010;Индекс МосБиржи;Индекс МосБиржи;1319,22;1304,88;1319,37;1301,8;27769398404;;;2;;RUB;;3;
SNDX;IMOEX;16.02.2010;Индекс МосБиржи;Индекс МосБиржи;1361,49;1319,22;1361,87;1319,22;50827923923;;;2;;RUB;;3;
SNDX;IMOEX;17.02.2010;Индекс МосБиржи;Индекс МосБиржи;1354,09;1361,49;1373,22;1350,12;48901078422;;;2;;RUB;;3;
SNDX;IMOEX;18.02.2010;Индекс МосБиржи;Индекс МосБиржи;1338,77;1354,07;1354,07;1324,9;53096951615;;;2;;RUB;;3;
SNDX;IMOEX;19.02.2010;Индекс МосБиржи;Индекс МосБиржи;1353,75;1338,77;1354,05;1310,65;55036903892;;;2;;RUB;;3;
SNDX;IMOEX;24.02.2010;Индекс МосБиржи;Индекс МосБиржи;1334,53;1353,75;1353,75;1324,49;45100893132;;;2;;RUB;;3;
SNDX;IMOEX;25.02.2010;Индекс МосБиржи;Индекс МосБиржи;1306,46;1334,33;1334,42;1297,14;45261100404;;;2;;RUB;;3;
SNDX;IMOEX;26.02.2010;Индекс МосБиржи;Индекс МосБиржи;1323,72;1306,5;1324,57;1306,5;41518987892;;;2;;RUB;;3;
SNDX;IMOEX;27.02.2010;Индекс МосБиржи;Индекс МосБиржи;1332,64;1323,72;1333,55;1322,34;12464064955;;;2;;RUB;;3;
SNDX;IMOEX;01.03.2010;Индекс МосБиржи;Индекс МосБиржи;1356,27;1332,97;1358,04;1332,97;55518217686;;;2;;RUB;;3;
SNDX;IMOEX;02.03.2010;Индекс МосБиржи;Индекс МосБиржи;1368,09;1356,27;1371,83;1351,06;53841386628;;;2;;RUB;;3;
SNDX;IMOEX;03.03.2010;Индекс МосБиржи;Индекс МосБиржи;1379,32;1368,09;1382,22;1355,47;51628064153;;;2;;RUB;;3;
SNDX;IMOEX;04.03.2010;Индекс МосБиржи;Индекс МосБиржи;1384,44;1379,32;1395,98;1366,55;54228963470;;;2;;RUB;;3;
SNDX;IMOEX;05.03.2010;Индекс МосБиржи;Индекс МосБиржи;1414,37;1384,44;1414,48;1384,44;63122137491;;;2;;RUB;;3;
SNDX;IMOEX;09.03.2010;Индекс МосБиржи;Индекс МосБиржи;1412,55;1414,34;1421,14;1396,57;60070271308;;;2;;RUB;;3;
SNDX;IMOEX;10.03.2010;Индекс МосБиржи;Индекс МосБиржи;1402,35;1412,1;1423,06;1397,5;56733323493;;;2;;RUB;;3;
SNDX;IMOEX;11.03.2010;Индекс МосБиржи;Индекс МосБиржи;1395,91;1402,35;1411,45;1389,68;48996570233;;;2;;RUB;;3;
